"delivery_day","pickup_site_label","sum"
"LA","CULVER CITY","6.51"
"LA","Home Delivery LA","20.69"
"LA","PASADENA","21.44"
"LA","SANTA MONICA: Crudo","3.46"
"LA","SANTA MONICA: Farmshop","5.36"
"LA","SHERMAN OAKS","1.92"
"LA","SILVERLAKE","6.54"
"LA","Topa Topa Camarillo","1.54"
"Thursday","Get Hooked","1.92"
"Thursday","Home Delivery SB","34.855"
"Thursday","Home Delivery SYV","3.07"
"Thursday","Il Fustino/San Roque","10.38"
"Thursday","LOS OLIVOS","4.21"
"Thursday","Mesa Produce","8.43"
"Thursday","SOLVANG","6.495"
"Thursday","Upper East/Mission","12.61"
"Tuesday","Home Delivery Carpinteria","8.41"
"Tuesday","Home Delivery Montecito","9.955"
"Tuesday","Home Delivery Ojai","0.77"
"Tuesday","Home Delivery Ventura","2.29"
"Tuesday","Main Street Meats","3.46"
"Tuesday","Olive Mill/101","0.77"
"Tuesday","Rincon Brewery","8.46"
"Tuesday","Topa Topa Ojai","3.46"
"Tuesday","Topa Topa Ventura","7.3"
"Wednesday","Draughtsman Aleworks","17.26"
"Wednesday","Eastside/Bowl","3.08"
"Wednesday","Fairview Gardens","14.95"
"Wednesday","Home Delivery Goleta","13.06"
"Wednesday","Lane Farms","8.43"
"Wednesday","Mosaic Locale/Downtown","9.59"
"Wednesday","Tri-County Produce","0.77"
